Binaural Audition LSTM Project Test Scene Parameters
====================================================

sceneId   nSrcs  SNRs (wrt Src#1)     azimuths
--------------------------------------------------
1         1      0                    0
145       4      [0,-20,-20,-20]      [-45,45,135,225]
146       4      [0,-10,-10,-10]      [-45,45,135,225]
147       4      [0,10,10,10]         [-45,45,135,225]
148       4      [0,20,20,20]         [-45,45,135,225]
149       2      [0,-20]              [0,90]
150       2      [0,-10]              [0,90]
151       2      [0,10]               [0,90]
152       2      [0,20]               [0,90]
153       3      [0,-20,-20]          [0,90,180]
154       3      [0,-10,-10]          [0,90,180]
155       3      [0,10,10]            [0,90,180]
156       3      [0,20,20]            [0,90,180]
157       4      [0,-20,-20,-20]      [0,90,180,270]
158       4      [0,-10,-10,-10]      [0,90,180,270]
159       4      [0,10,10,10]         [0,90,180,270]
160       4      [0,20,20,20]         [0,90,180,270]
161       4      [0,-20,-20,-20]      [-90,0,90,180]
162       4      [0,-10,-10,-10]      [-90,0,90,180]
163       4      [0,10,10,10]         [-90,0,90,180]
164       4      [0,20,20,20]         [-90,0,90,180]
165       2      [0,-20]              [45,135]
166       2      [0,-10]              [45,135]
167       2      [0,10]               [45,135]
168       2      [0,20]               [45,135]

